update_date,country/region,latitude,longitude,cum_confirmed,cum_dead,cum_recovered,new_confirmed,new_dead,new_recovered
2020-02-04,Sri Lanka,7.0,81.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,Sweden,63.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,Thailand,15.0,101.0,25.0,0.0,5.0,6.0,0.0,0.0
2020-02-04,United Arab Emirates,24.0,54.0,5.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,United Kingdom,270.0299,-482.92470000000003,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,United States,37.0902,-95.7129,11.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,Vietnam,16.0,108.0,8.0,0.0,1.0,0.0,0.0,0.0
2020-02-05,Australia,,,13.0,0.0,2.0,0.0,0.0,0.0
2020-02-05,Belgium,50.8333,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,Cambodia,11.55,104.9167,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,Canada,,,5.0,0.0,0.0,1.0,0.0,0.0
2020-02-05,China,,,27440.0,563.0,1115.0,3733.0,72.0,272.0
2020-02-05,Finland,64.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,France,91.3624,59.71919999999999,6.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,Germany,51.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,India,21.0,78.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,Italy,43.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,Japan,36.0,138.0,22.0,0.0,1.0,0.0,0.0,0.0
2020-02-05,Malaysia,2.5,112.5,12.0,0.0,0.0,2.0,0.0,0.0
2020-02-05,Nepal,28.1667,84.25,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,Philippines,13.0,122.0,2.0,1.0,0.0,0.0,0.0,0.0
2020-02-05,Russian Federation,60.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,Singapore,1.2833,103.8333,28.0,0.0,0.0,4.0,0.0,0.0
2020-02-05,Spain,40.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,Sri Lanka,7.0,81.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,Sweden,63.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,Thailand,15.0,101.0,25.0,0.0,5.0,0.0,0.0,0.0
2020-02-05,United Arab Emirates,24.0,54.0,5.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,United Kingdom,270.0299,-482.92470000000003,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,United States,37.0902,-95.7129,11.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,Vietnam,16.0,108.0,8.0,0.0,1.0,0.0,0.0,0.0
2020-02-06,Australia,,,14.0,0.0,2.0,1.0,0.0,0.0
2020-02-06,Belgium,50.8333,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,Cambodia,11.55,104.9167,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,Canada,,,5.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,China,,,30587.0,633.0,1477.0,3147.0,70.0,362.0
2020-02-06,Finland,64.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,France,91.3624,59.71919999999999,6.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,Germany,51.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,India,21.0,78.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,Italy,43.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,Japan,36.0,138.0,22.0,0.0,1.0,0.0,0.0,0.0
2020-02-06,Malaysia,2.5,112.5,12.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,Nepal,28.1667,84.25,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,Philippines,13.0,122.0,2.0,1.0,0.0,0.0,0.0,0.0
2020-02-06,Russian Federation,60.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,Singapore,1.2833,103.8333,28.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,Spain,40.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,Sri Lanka,7.0,81.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,Sweden,63.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,Thailand,15.0,101.0,25.0,0.0,5.0,0.0,0.0,0.0
2020-02-06,United Arab Emirates,24.0,54.0,5.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,United Kingdom,270.0299,-482.92470000000003,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,United States,37.0902,-95.7129,11.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,Vietnam,16.0,108.0,10.0,0.0,1.0,2.0,0.0,0.0
2020-02-07,Australia,,,15.0,0.0,2.0,1.0,0.0,0.0
2020-02-07,Belgium,50.8333,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,Cambodia,11.55,104.9167,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,Canada,,,7.0,0.0,0.0,2.0,0.0,0.0
2020-02-07,China,,,34110.0,718.0,1999.0,3523.0,85.0,522.0
2020-02-07,Finland,64.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,France,91.3624,59.71919999999999,6.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,Germany,51.0,9.0,13.0,0.0,0.0,1.0,0.0,0.0
2020-02-07,India,21.0,78.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,Italy,43.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0
2020-02-07,Japan,36.0,138.0,25.0,0.0,1.0,3.0,0.0,0.0
2020-02-07,Malaysia,2.5,112.5,12.0,0.0,1.0,0.0,0.0,1.0
2020-02-07,Nepal,28.1667,84.25,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,Philippines,13.0,122.0,3.0,1.0,0.0,1.0,0.0,0.0
2020-02-07,Russian Federation,60.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,Singapore,1.2833,103.8333,30.0,0.0,0.0,2.0,0.0,0.0
2020-02-07,Spain,40.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,Sri Lanka,7.0,81.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,Sweden,63.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,Thailand,15.0,101.0,25.0,0.0,5.0,0.0,0.0,0.0
2020-02-07,United Arab Emirates,24.0,54.0,5.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,United Kingdom,270.0299,-482.92470000000003,3.0,0.0,0.0,1.0,0.0,0.0
2020-02-07,United States,37.0902,-95.7129,11.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,Vietnam,16.0,108.0,10.0,0.0,1.0,0.0,0.0,0.0
2020-02-08,Australia,,,15.0,0.0,2.0,0.0,0.0,0.0
2020-02-08,Belgium,50.8333,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,Cambodia,11.55,104.9167,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,Canada,,,7.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,China,,,36814.0,805.0,2596.0,2704.0,87.0,597.0
2020-02-08,Finland,64.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,France,91.3624,59.71919999999999,11.0,0.0,0.0,5.0,0.0,0.0
2020-02-08,Germany,51.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,India,21.0,78.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,Italy,43.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,Japan,36.0,138.0,25.0,0.0,1.0,0.0,0.0,0.0
2020-02-08,Malaysia,2.5,112.5,16.0,0.0,1.0,4.0,0.0,0.0
2020-02-08,Nepal,28.1667,84.25,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,Philippines,13.0,122.0,3.0,1.0,0.0,0.0,0.0,0.0
2020-02-08,Russian Federation,60.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,Singapore,1.2833,103.8333,33.0,0.0,2.0,3.0,0.0,2.0
2020-02-08,Spain,40.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,Sri Lanka,7.0,81.0,1.0,0.0,1.0,0.0,0.0,1.0
2020-02-08,Sweden,63.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,Thailand,15.0,101.0,32.0,0.0,10.0,7.0,0.0,5.0
2020-02-08,United Arab Emirates,24.0,54.0,7.0,0.0,0.0,2.0,0.0,0.0
2020-02-08,United Kingdom,270.0299,-482.92470000000003,3.0,0.0,0.0,0.0,0.0,0.0
